,0,1,2,3,4,5,6,7
0,-3175.842,-722.521,-3249.947,-750.022,-584.757,-2014.176,-1966.573,-7270.994
1,-3216.067,-3032.847,-3302.629,-2727.98,-3224.597,-2348.744,-2594.099,-7310.215
2,-3266.175,-6314.74,-3434.739,-5922.136,-6525.868,-4025.855,-4399.023,-7312.011
3,-3233.522,-5380.469,-3442.097,-5491.894,-5073.366,-4710.32,-4657.166,-7255.036
4,-3176.139,-1402.35,-3312.915,-1811.421,-833.828,-3249.864,-2920.409,-7237.656
5,-3180.078,-510.104,-3256.659,-588.701,-346.127,-2105.534,-2013.457,-7275.712
6,-3221.127,-2805.071,-3303.074,-2505.37,-2990.908,-2302.024,-2527.349,-7318.954
7,-3269.337,-6180.082,-3433.419,-5782.038,-6398.158,-3943.989,-4323.109,-7317.966
8,-3236.771,-5279.188,-3441.199,-5393.441,-4959.887,-4631.448,-4590.009,-7260.911
9,-3178.787,-1180.212,-3311.131,-1573.888,-641.38,-3165.138,-2846.942,-7242.895
10,-3180.939,-339.112,-3254.602,-296.821,-249.496,-2032.816,-1954.842,-7277.954
11,-3269.201,-6177.397,-3432.681,-5777.627,-6396.376,-3916.579,-4303.688,-7318.09
12,-3238.117,-5253.431,-3441.163,-5373.98,-4918.632,-4608.824,-4570.042,-7263.257
13,-3180.446,-1057.62,-3309.994,-1449.19,-514.732,-3125.072,-2806.249,-7246.336
14,-3182.597,-132.012,-3252.147,-59.482,-69.807,-1970.974,-1893.189,-7282.07
15,-3221.913,-2649.868,-3297.665,-2322.559,-2842.01,-2177.144,-2417.862,-7322.884
16,-3269.165,-6133.992,-3429.011,-5727.528,-6359.939,-3851.632,-4247.561,-7319.81
17,-3237.549,-5275.432,-3439.379,-5391.16,-4942.908,-4584.032,-4554.175,-7263.074
18,-3180.132,-1048.195,-3308.566,-1440.628,-507.156,-3112.377,-2794.162,-7246.578
19,-3182.416,-61.498,-3249.867,7.817,-7.707,-1946.501,-1866.196,-7282.991
20,-3221.535,-2592.161,-3294.693,-2262.162,-2785.131,-2142.797,-2382.164,-7323.803
21,-3268.33,-6125.009,-3426.409,-5713.162,-6355.761,-3825.052,-4224.104,-7319.746
22,-3236.639,-5319.431,-3438.606,-5431.14,-4994.245,-4589.575,-4563.417,-7261.916
23,-3180.496,-1045.38,-3307.978,-1435.317,-527.511,-3116.897,-2792.137,-7247.701
24,-3184.772,158.225,-3246.547,201.478,189.399,-1892.021,-1800.099,-7289.035
25,-3223.759,-2351.122,-3288.069,-2016.665,-2551.738,-2030.075,-2266.488,-7331.165
26,-3267.359,-6057.219,-3419.416,-5630.536,-6303.647,-3724.79,-4139.201,-7321.506
27,-3233.477,-5436.866,-3436.133,-5529.874,-5136.286,-4584.716,-4578.831,-7257.504
28,-3178.514,-1169.048,-3307.916,-1560.214,-664.357,-3159.66,-2834.502,-7244.464
29,-3183.777,152.349,-3245.477,183.81,192.762,-1915.977,-1813.521,-7287.997
30,-3222.792,-2325.627,-3285.848,-1993.015,-2523.998,-2030.748,-2258.927,-7330.701
31,-3232.581,-5484.509,-3435.594,-5574.002,-5187.723,-4605.519,-4600.759,-7256.347
32,-3177.591,-1191.401,-3307.193,-1583.351,-689.276,-3179.956,-2850.074,-7243.371
33,-3182.822,167.554,-3243.715,197.392,206.708,-1918.957,-1811.971,-7287.321
34,-3222.0,-2305.147,-3283.832,-1970.85,-2504.652,-2025.565,-2251.72,-7330.367
35,-3265.756,-6060.107,-3415.66,-5628.405,-6311.068,-3719.82,-4133.322,-7320.92
36,-3232.261,-5495.397,-3434.449,-5583.08,-5200.134,-4608.307,-4604.451,-7256.552
37,-3176.824,-1202.894,-3305.982,-1595.028,-699.218,-3186.194,-2855.439,-7242.706
38,-3181.691,167.295,-3242.192,194.642,207.908,-1922.878,-1813.664,-7286.074
39,-3221.081,-2291.966,-3282.031,-1960.927,-2488.574,-2023.409,-2246.892,-7329.742
40,-3267.166,-5979.121,-3413.137,-5556.668,-6221.426,-3687.975,-4095.379,-7325.064
41,-3235.644,-5337.067,-3429.957,-5435.473,-5023.32,-4524.826,-4517.262,-7264.986
42,-3178.01,-1043.116,-3299.861,-1433.009,-529.468,-3088.427,-2765.821,-7247.7
43,-3180.22,179.91,-3236.781,224.925,206.031,-1860.58,-1765.234,-7285.996
44,-3218.747,-2317.036,-3277.947,-1982.787,-2515.272,-1998.896,-2230.919,-7327.701
45,-3264.881,-6014.167,-3410.08,-5588.959,-6258.508,-3686.689,-4097.702,-7322.803
46,-3233.442,-5413.159,-3428.605,-5505.622,-5109.167,-4553.675,-4548.086,-7261.941
47,-3176.055,-1121.238,-3299.101,-1512.515,-606.799,-3129.094,-2801.638,-7244.837
48,-3178.817,183.564,-3235.147,219.429,217.49,-1882.899,-1778.809,-7284.566
49,-3217.779,-2288.007,-3275.465,-1955.21,-2484.508,-1999.69,-2225.284,-7327.413
50,-3263.864,-6017.815,-3407.92,-5588.326,-6266.175,-3685.489,-4096.926,-7322.169
51,-3231.85,-5483.039,-3428.107,-5567.133,-5193.557,-4581.469,-4579.544,-7259.347
52,-3174.466,-1223.274,-3299.751,-1615.591,-715.912,-3178.009,-2848.756,-7241.659
53,-3177.655,142.654,-3235.676,166.271,190.659,-1926.849,-1816.67,-7282.241
54,-3217.035,-2305.441,-3275.414,-1979.643,-2496.142,-2028.488,-2247.562,-7326.21
55,-3263.598,-6008.434,-3407.182,-5580.544,-6254.824,-3697.413,-4103.923,-7322.294
56,-3231.989,-5480.111,-3427.389,-5563.43,-5192.316,-4587.029,-4583.86,-7260.009
57,-3173.95,-1232.199,-3298.896,-1625.742,-723.484,-3185.6,-2856.199,-7241.117
58,-3176.465,118.803,-3234.807,142.843,170.544,-1938.838,-1828.879,-7280.506
59,-3215.725,-2331.652,-3274.73,-2007.201,-2519.911,-2044.43,-2262.879,-7324.274
60,-3263.126,-6009.344,-3406.561,-5582.95,-6253.831,-3707.096,-4111.806,-7321.915
61,-3232.226,-5478.115,-3426.939,-5561.426,-5191.466,-4590.75,-4587.479,-7260.609
62,-3173.689,-1241.184,-3298.254,-1634.21,-731.711,-3189.791,-2861.182,-7240.854
63,-3175.772,121.873,-3233.781,143.728,175.833,-1941.664,-1831.663,-7279.768
64,-3214.994,-2317.935,-3273.304,-1994.337,-2504.812,-2040.985,-2259.211,-7323.749
65,-3262.786,-5997.564,-3405.196,-5570.413,-6242.228,-3699.417,-4105.442,-7322.032
66,-3232.534,-5472.609,-3426.159,-5556.881,-5182.531,-4585.882,-4584.639,-7261.415
67,-3177.046,219.989,-3231.097,244.181,259.214,-1899.962,-1787.79,-7283.362
68,-3215.507,-2205.346,-3269.104,-1870.209,-2401.385,-1979.432,-2200.621,-7326.687
69,-3260.4,-6033.654,-3401.943,-5592.154,-6292.161,-3674.984,-4094.635,-7319.211
70,-3174.464,-1198.671,-3297.246,-1596.971,-687.464,-3204.773,-2866.221,-7242.883
71,-3178.049,287.963,-3229.029,310.335,317.887,-1879.691,-1759.938,-7286.222
72,-3215.364,-2130.629,-3265.905,-1784.075,-2336.356,-1943.18,-2165.827,-7327.908
73,-3257.97,-6090.217,-3400.076,-5636.911,-6359.965,-3675.784,-4105.164,-7315.641
74,-3227.209,-5699.834,-3427.332,-5777.112,-5409.159,-4683.554,-4693.935,-7251.322
75,-3174.445,-1215.839,-3298.009,-1616.753,-709.769,-3243.548,-2894.18,-7242.654
76,-3179.109,345.065,-3227.467,360.776,370.124,-1867.673,-1737.905,-7288.976
77,-3213.703,-2040.824,-3259.412,-1689.258,-2252.081,-1901.467,-2123.103,-7328.142
78,-3254.971,-6012.324,-3389.335,-5563.038,-6280.188,-3631.788,-4058.951,-7315.989
79,-3174.017,-1199.974,-3295.247,-1601.479,-690.971,-3236.68,-2887.132,-7243.141
80,-3174.331,299.686,-3220.122,324.001,326.073,-1874.931,-1749.659,-7283.739
81,-3227.43,-5669.23,-3420.176,-5743.958,-5378.432,-4646.986,-4663.087,-7254.839
82,-3214.683,-2032.614,-3260.894,-1680.834,-2245.836,-1898.907,-2120.977,-7329.159
83,-3255.936,-6065.422,-3394.018,-5607.586,-6339.645,-3640.9,-4075.67,-7315.036
84,-3211.546,-2070.184,-3256.804,-1724.271,-2275.972,-1915.635,-2134.853,-7325.682
85,-3173.554,-1198.538,-3293.7,-1599.446,-687.815,-3232.651,-2883.841,-7242.942
86,-3176.549,332.679,-3222.596,354.914,355.908,-1862.866,-1735.061,-7286.669
87,-3170.701,-1231.024,-3285.823,-1631.308,-712.91,-3227.312,-2884.087,-7240.989
88,-3255.496,-6049.869,-3392.371,-5595.048,-6322.382,-3637.579,-4070.454,-7315.203
89,-3254.804,-5995.952,-3387.986,-5548.941,-6262.217,-3628.172,-4053.722,-7316.414
90,-3253.807,-5975.543,-3384.577,-5528.269,-6242.397,-3614.035,-4040.694,-7316.371
91,-3173.206,285.596,-3218.854,310.836,314.05,-1881.041,-1756.507,-7282.284
92,-3172.491,279.514,-3217.64,304.512,309.081,-1883.491,-1758.792,-7281.459
93,-3171.887,285.156,-3216.162,308.664,315.493,-1881.92,-1756.436,-7281.02
94,-3254.466,-5981.224,-3386.354,-5534.585,-6246.86,-3621.334,-4046.551,-7316.657
95,-3228.062,-5648.306,-3416.524,-5719.318,-5362.227,-4629.054,-4647.593,-7257.41
96,-3171.081,291.748,-3214.549,313.178,322.634,-1882.578,-1754.962,-7280.394
97,-3207.217,-2070.097,-3249.406,-1734.019,-2266.087,-1921.597,-2135.449,-7321.585
98,-3253.156,-5966.832,-3382.712,-5518.433,-6235.689,-3605.178,-4033.227,-7316.164
99,-3227.133,-5687.931,-3414.636,-5753.677,-5407.415,-4636.821,-4661.196,-7256.544
100,-3170.479,-1247.085,-3285.318,-1647.684,-730.236,-3237.794,-2892.869,-7240.711
101,-3170.832,301.494,-3213.419,320.728,332.743,-1884.324,-1752.811,-7280.368
102,-3206.642,-2048.093,-3247.629,-1711.221,-2244.336,-1914.913,-2126.664,-7321.366
103,-3252.284,-5965.387,-3380.932,-5514.634,-6236.464,-3599.065,-4028.999,-7315.503
104,-3226.574,-5715.649,-3413.998,-5778.711,-5437.577,-4645.843,-4673.231,-7255.766
105,-3170.198,-1262.255,-3284.802,-1662.744,-745.761,-3248.898,-2902.838,-7240.366
106,-3170.613,315.854,-3212.182,332.529,347.456,-1882.799,-1749.079,-7280.499
107,-3206.248,-2017.979,-3245.824,-1680.231,-2214.783,-1903.999,-2114.885,-7321.487
108,-3226.195,-5739.939,-3413.314,-5799.813,-5464.306,-4650.582,-4681.409,-7255.299
109,-3169.724,-1283.887,-3284.302,-1685.281,-763.565,-3259.53,-2913.982,-7239.669
110,-3169.964,311.888,-3211.284,327.233,345.081,-1888.919,-1754.543,-7279.712
111,-3205.462,-2015.536,-3244.577,-1678.744,-2211.881,-1906.059,-2115.866,-7320.676
112,-3251.124,-5959.427,-3378.064,-5505.943,-6234.575,-3591.44,-4021.589,-7314.781
113,-3225.959,-5765.039,-3413.162,-5822.66,-5490.955,-4664.319,-4694.498,-7254.772
114,-3169.802,-1295.8,-3284.325,-1698.416,-775.536,-3270.714,-2924.696,-7239.624
115,-3169.684,314.334,-3210.529,328.53,347.382,-1890.12,-1756.416,-7279.46
116,-3204.859,-2006.839,-3243.401,-1671.556,-2202.997,-1904.192,-2114.155,-7320.11
117,-3251.061,-5937.432,-3376.679,-5486.616,-6211.946,-3584.161,-4011.581,-7315.353
118,-3226.64,-5740.141,-3411.843,-5797.851,-5464.579,-4650.186,-4679.261,-7256.498
119,-3169.659,-1282.834,-3282.762,-1683.428,-759.603,-3256.823,-2914.151,-7239.959
120,-3168.759,301.229,-3209.288,318.158,334.863,-1887.547,-1758.277,-7278.241
121,-3203.664,-2030.371,-3242.361,-1697.672,-2224.717,-1910.68,-2121.841,-7318.417
122,-3249.836,-5957.543,-3375.79,-5505.885,-6233.695,-3596.481,-4023.011,-7313.605
123,-3225.964,-5773.019,-3411.831,-5829.723,-5497.427,-4672.639,-4700.237,-7255.225
124,-3169.384,-1296.498,-3282.704,-1698.572,-770.747,-3274.579,-2928.406,-7239.414
125,-3168.512,310.662,-3208.579,325.533,344.502,-1892.672,-1760.222,-7278.066
126,-3203.181,-2007.286,-3240.991,-1674.347,-2202.318,-1905.915,-2115.359,-7318.198
127,-3249.239,-5950.762,-3374.399,-5497.778,-6229.789,-3590.504,-4017.651,-7313.186
128,-3225.407,-5804.414,-3411.602,-5857.527,-5532.772,-4683.571,-4713.745,-7254.184
129,-3169.23,-1314.301,-3282.72,-1715.421,-793.663,-3287.798,-2940.197,-7239.067
130,-3168.739,335.35,-3207.52,346.964,367.595,-1885.442,-1750.366,-7278.943
131,-3203.35,-1955.221,-3239.207,-1620.759,-2152.787,-1884.35,-2093.525,-7319.263
132,-3248.901,-5933.251,-3372.494,-5477.801,-6216.149,-3569.63,-4000.187,-7313.429
133,-3224.732,-5830.715,-3410.715,-5879.529,-5562.173,-4683.581,-4718.831,-7253.296
134,-3168.656,-1340.493,-3282.241,-1740.994,-814.585,-3297.791,-2950.303,-7238.198
135,-3168.429,342.278,-3206.564,350.923,377.085,-1886.558,-1749.082,-7278.794
136,-3202.913,-1928.769,-3237.591,-1594.347,-2126.292,-1875.343,-2082.898,-7319.249
137,-3248.208,-5923.062,-3370.752,-5465.77,-6208.437,-3558.606,-3990.637,-7313.056
138,-3224.189,-5854.377,-3410.064,-5899.851,-5589.446,-4687.679,-4726.475,-7252.549
139,-3168.274,-1362.432,-3281.98,-1763.781,-837.557,-3309.946,-2961.702,-7237.531
140,-3168.021,345.71,-3205.757,351.679,381.746,-1892.102,-1751.246,-7278.372
141,-3202.447,-1910.562,-3236.28,-1576.776,-2107.543,-1871.975,-2077.034,-7318.991
142,-3247.841,-5907.403,-3369.234,-5449.364,-6193.641,-3548.494,-3980.871,-7313.124
143,-3224.035,-5862.874,-3409.223,-5905.898,-5600.117,-4685.288,-4726.856,-7252.577
144,-3167.95,-1371.066,-3281.236,-1772.471,-846.702,-3313.627,-2964.797,-7237.241
145,-3167.57,353.661,-3204.487,358.118,389.7,-1889.569,-1746.486,-7278.125
146,-3246.956,-5878.889,-3365.843,-5418.8,-6168.907,-3522.85,-3957.906,-7313.224
147,-3221.032,-6000.946,-3403.096,-6021.536,-5762.831,-4699.322,-4763.965,-7250.094
148,-3199.115,-1763.346,-3225.954,-1434.246,-1956.931,-1825.326,-2020.941,-7318.185
149,-3167.316,361.824,-3203.678,362.781,399.941,-1891.804,-1746.537,-7277.987
150,-3223.417,-5900.436,-3407.749,-5936.509,-5644.437,-4686.12,-4735.313,-7252.007
151,-3165.433,-1469.267,-3277.995,-1878.321,-947.484,-3362.117,-3013.709,-7234.042
152,-3244.969,-5831.538,-3359.552,-5368.408,-6124.992,-3486.53,-3923.367,-7313.153
153,-3201.152,-1842.081,-3231.822,-1510.894,-2038.19,-1849.102,-2049.909,-7318.687
154,-3220.084,-6029.091,-3401.255,-6044.881,-5795.263,-4701.314,-4770.921,-7249.556
155,-3165.148,-1486.591,-3277.743,-1895.469,-965.09,-3374.154,-3024.433,-7233.669
156,-3167.042,-1425.387,-3280.072,-1826.055,-897.341,-3340.444,-2991.551,-7235.873
157,-3197.377,-1704.049,-3221.472,-1377.579,-1896.709,-1805.354,-1997.809,-7317.767
158,-3164.403,-1511.843,-3276.533,-1920.152,-990.986,-3386.359,-3036.796,-7233.02
159,-3164.716,-1501.341,-3277.062,-1909.637,-981.86,-3379.604,-3030.479,-7233.268
160,-3164.172,395.101,-3196.621,378.979,438.661,-1902.381,-1745.156,-7275.864
161,-3198.077,-1720.773,-3223.017,-1393.239,-1914.194,-1811.041,-2004.56,-7318.027
162,-3243.133,-5806.484,-3354.873,-5338.915,-6104.241,-3459.982,-3900.682,-7312.704
163,-3163.672,-1527.1,-3275.616,-1935.267,-1005.411,-3392.269,-3043.28,-7232.361
164,-3162.979,400.432,-3194.493,381.323,445.84,-1905.199,-1745.887,-7275.101
165,-3196.665,-1688.534,-3220.025,-1363.079,-1880.426,-1801.301,-1992.612,-7317.445
166,-3241.743,-5780.747,-3351.405,-5311.569,-6080.069,-3441.952,-3882.592,-7312.515
167,-3219.769,-6039.509,-3400.344,-6053.012,-5808.454,-4701.164,-4772.78,-7249.573
168,-3163.247,-1539.879,-3274.965,-1949.694,-1019.425,-3398.094,-3049.671,-7232.038
169,-3162.311,401.123,-3193.472,380.082,447.56,-1908.05,-1747.841,-7274.579
170,-3195.091,-1664.865,-3217.183,-1340.695,-1854.437,-1795.929,-1984.342,-7316.521
171,-3241.159,-5769.377,-3349.899,-5299.494,-6069.279,-3434.738,-3875.241,-7312.479
172,-3219.352,-6052.029,-3399.456,-6063.146,-5823.148,-4702.332,-4775.683,-7249.409
173,-3162.719,-1555.322,-3274.317,-1965.081,-1031.777,-3405.73,-3056.687,-7231.546
174,-3240.41,-5757.116,-3348.241,-5286.561,-6057.388,-3426.897,-3867.374,-7312.241
175,-3218.882,-6063.081,-3398.487,-6071.607,-5836.945,-4702.522,-4778.043,-7249.197
176,-3162.132,-1571.119,-3273.609,-1981.119,-1048.106,-3412.282,-3064.198,-7231.007
177,-3160.996,401.168,-3191.552,377.187,450.255,-1914.711,-1752.356,-7273.56
178,-3194.445,-1653.023,-3215.966,-1330.68,-1841.249,-1793.641,-1981.101,-7316.207
179,-3239.817,-5742.666,-3346.675,-5272.032,-6043.079,-3419.094,-3858.922,-7312.222
180,-3218.547,-6071.818,-3397.54,-6078.136,-5848.469,-4701.697,-4778.985,-7249.178
181,-3161.618,-1585.214,-3272.929,-1995.889,-1062.3,-3418.291,-3070.434,-7230.557
182,-3160.342,401.406,-3190.599,375.687,451.79,-1917.772,-1754.157,-7273.046
183,-3193.806,-1642.171,-3214.752,-1320.778,-1829.012,-1791.395,-1977.771,-7315.891
184,-3239.272,-5730.189,-3345.213,-5259.26,-6030.789,-3411.134,-3851.371,-7312.231
185,-3218.352,-6080.634,-3396.749,-6084.713,-5859.645,-4700.444,-4780.147,-7249.28
186,-3161.129,-1601.632,-3272.317,-2012.744,-1076.802,-3424.836,-3077.278,-7230.078
187,-3192.881,-1632.787,-3213.349,-1311.572,-1818.523,-1790.247,-1974.893,-7315.237
188,-3238.595,-5716.745,-3343.657,-5245.404,-6017.593,-3404.087,-3843.677,-7312.076
189,-3217.948,-6088.976,-3395.776,-6090.42,-5870.939,-4699.559,-4781.039,-7249.15
190,-3160.711,-1621.504,-3271.854,-2032.262,-1095.911,-3432.544,-3085.437,-7229.657
191,-3158.971,398.005,-3188.931,368.47,452.109,-1927.984,-1761.602,-7271.809
192,-3192.385,-1623.384,-3212.432,-1303.664,-1808.093,-1790.103,-1973.327,-7314.97
193,-3238.205,-5704.378,-3342.457,-5232.796,-6005.346,-3397.768,-3837.386,-7312.12
194,-3217.727,-6095.471,-3394.984,-6094.79,-5879.778,-4697.996,-4781.89,-7249.169
195,-3160.221,-1636.332,-3271.249,-2047.32,-1111.011,-3437.654,-3091.588,-7229.162
196,-3158.227,395.961,-3188.093,364.931,451.4,-1932.277,-1764.905,-7271.082
197,-3191.583,-1616.708,-3211.281,-1297.948,-1800.156,-1790.041,-1971.804,-7314.352
198,-3237.569,-5690.061,-3340.984,-5218.906,-5990.966,-3391.821,-3830.149,-7311.966
199,-3217.419,-6099.992,-3394.024,-6096.738,-5886.409,-4696.849,-4781.249,-7249.163
